record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,16066,719.954734,True,209.158835,104.104325,210.993166,106.23136,234.066563,231.936739,826.893719,210.089236,104.857991,-0.966207,-1.127544,0.930526,105.086882,210.018572,0.75369,209.390221,104.157306,-0.073458,-0.303803,1.494276,104.380655,209.31065,1.390338,89.936576,89.884419,89.997052,89.971456,0.063424,0.115581,0.002948,0.028544,1.80009,1.905943,1.785177,1.800015,1.8,0.017994,1.905,0.059933,1.785,0.025134,1.8,0.007257,
slice,16270,729.934401,True,209.147923,104.116294,211.01643,106.215876,234.081695,231.921788,826.893719,210.090797,104.878276,-0.983987,-1.116561,0.942974,105.081835,210.024081,0.762003,209.378256,104.1879,-0.096619,-0.284664,1.506878,104.378534,209.312134,1.399453,89.957481,89.878085,89.984955,89.971664,0.042519,0.121915,0.015045,0.028336,1.800014,1.905993,1.800138,1.815003,1.8,0.007121,1.905,0.061506,1.8,0.022312,1.815,0.003033,
slice,16474,739.914068,True,209.151835,104.117023,211.026461,106.207286,234.106636,231.914822,826.893719,210.103281,104.883451,-0.997828,-1.109396,0.951538,105.079998,210.020295,0.766461,209.400425,104.189021,-0.103538,-0.2811,1.51435,104.370933,209.317965,1.40423,89.934473,89.881112,89.974668,89.989889,0.065527,0.118888,0.025332,0.010111,1.800048,1.921027,1.800166,1.800011,1.8,0.013184,1.92,0.062809,1.8,0.024423,1.8,0.006362,
slice,16678,749.893736,True,209.137367,104.130333,211.053987,106.192684,234.12944,231.902856,826.893719,210.106797,104.903715,-1.015422,-1.095664,0.969503,105.078468,210.030288,0.77341,209.402501,104.212492,-0.121876,-0.267791,1.530435,104.375968,209.321637,1.411162,89.966229,89.889883,89.992275,89.978247,0.033771,0.110117,0.007725,0.021753,1.80003,1.905983,1.800141,1.815,1.8,0.010366,1.905,0.061196,1.8,0.022534,1.815,0.000623,
slice,16882,759.873403,True,209.14366,104.135061,211.062411,106.173567,234.139171,231.902131,826.893719,210.117591,104.912814,-1.022918,-1.086168,0.973989,105.068619,210.031263,0.777788,209.408103,104.218173,-0.130619,-0.255151,1.534955,104.371371,209.329156,1.414253,89.948654,89.888554,89.995058,89.971664,0.051346,0.111446,0.004942,0.028336,1.800043,1.906024,1.770066,1.800008,1.8,0.012416,1.905,0.06248,1.77,0.015298,1.8,0.005444,
slice,17086,769.853071,True,209.134883,104.145101,211.081955,106.152376,234.151431,231.894532,826.893719,210.117388,104.929543,-1.03821,-1.071789,0.982546,105.061351,210.035583,0.784473,209.411189,104.231986,-0.140196,-0.243414,1.536144,104.359462,209.335251,1.429364,89.957152,89.883597,89.978464,89.984967,0.042848,0.116403,0.021536,0.015033,1.78509,1.905972,1.785076,1.800011,1.785,0.017924,1.905,0.060864,1.785,0.016476,1.8,0.006278,
slice,17290,779.832738,True,209.133917,104.149565,211.091514,106.138784,234.166155,231.883382,826.893719,210.125111,104.940433,-1.046785,-1.067454,0.991224,105.051761,210.036549,0.790906,209.415246,104.246784,-0.143456,-0.24694,1.543809,104.351665,209.334639,1.429975,89.957309,89.87785,89.982148,89.971385,0.042691,0.12215,0.017852,0.028615,1.800016,1.906081,1.785151,1.800001,1.8,0.007676,1.905,0.064189,1.785,0.023229,1.8,0.001661,
mean,,,True,209.758896,103.974525,210.291818,106.327326,233.287319,232.612858,826.893719,210.056345,104.232571,-0.276827,-1.169857,0.299933,105.151573,210.009753,0.258059,209.34985,103.565276,0.500928,-0.38221,0.976938,104.398946,209.299317,0.907398,89.95246,89.896743,89.981171,89.97308,0.04754,0.103257,0.018829,0.02692,1.801864,1.859849,1.83896,1.80281,1.8018,0.014131,1.859,0.056044,1.8388,0.023764,1.8028,0.005053,
min,,,True,209.133917,103.884163,209.411472,106.138784,232.325336,231.883382,826.893719,210.005609,103.525416,-1.046785,-1.236599,-0.547523,105.051761,209.977385,-0.489348,209.29081,102.89084,-0.143456,-0.429405,0.258956,104.351665,209.25852,0.191907,89.923291,89.875392,89.95316,89.94382,0.019348,0.082798,0.000109,0.000606,1.785002,1.800622,1.755242,1.785,1.785,0.002466,1.8,0.046113,1.755,0.01423,1.785,0.000113,
max,,,True,210.565967,104.149565,211.091514,106.440268,234.166155,233.531866,826.893719,210.125111,104.940433,0.566908,-1.067454,0.991224,105.200447,210.036549,0.790906,209.415246,104.246784,1.20156,-0.243414,1.543809,104.452876,209.335251,1.429975,89.980652,89.917202,89.999891,89.999394,0.076709,0.124608,0.04684,0.05618,1.830335,1.921027,1.905104,1.83004,1.83,0.035,1.92,0.065493,1.905,0.03356,1.83,0.013128,
